date,open,high,low,volume,close,future_return
2014-07-31,5.780267,5.780267,5.694934,24731248.0,5.702934,-0.006528487560199414
2014-08-01,5.7183995,5.733333,5.6122665,18457502.0,5.6624,-0.018212511839765244
2014-08-04,5.681067,5.689067,5.5973334,22334998.0,5.5973334,0.005737144494303736
2014-08-05,5.5776005,5.6261334,5.566933,18110624.0,5.5872,0.014546616514546251
2014-08-06,5.6096,5.775467,5.602667,34513124.0,5.6901336,0.004310742371113507
2014-08-07,5.6912007,5.7248006,5.642134,18851248.0,5.710934,0.030325588979473128
2014-08-08,5.715734,5.928001,5.698667,30519372.0,5.8928003,-0.010777089138228502
2014-08-11,5.889067,5.958934,5.8373337,22031248.0,5.839467,0.004486010024718379
2014-08-12,5.8256,5.8634667,5.7594666,16160625.0,5.847467,-0.004648229293140793
2014-08-13,5.8517337,5.9066668,5.7888002,17488124.0,5.8101335,0.008607298764785165
2014-08-14,5.8245335,5.8485336,5.783467,17401876.0,5.8197336,-0.007262828684587497
2014-08-15,5.874667,5.874667,5.7573333,18030000.0,5.7904,-0.0009144375386948012
2014-08-18,5.8320003,5.8592,5.7920003,22629374.0,5.8288,-0.009336263287248237
2014-08-19,5.8266673,5.8544,5.741334,26120624.0,5.761067,0.0070219192871847635
2014-08-20,5.772268,5.8293343,5.7237344,18853122.0,5.827201,0.0053216346461852915
2014-08-21,5.8128004,5.860267,5.7616005,30149996.0,5.831467,-0.006114925833379914
2014-08-22,5.843734,5.843734,5.7509336,18200624.0,5.7914667,0.008723553719008237
2014-08-25,5.808,5.8821335,5.808,17553750.0,5.8688,0.004460742123838957
2014-08-26,5.8586664,5.8842664,5.8058667,12892500.0,5.8725333,-0.0008156266438534843
2014-08-27,5.8848004,5.946667,5.8480005,20064374.0,5.8992004,0.007981869933822772
2014-08-28,5.8800006,5.9184003,5.860267,11979374.0,5.9024005,-0.006658923483878865
2014-08-29,5.926934,5.926934,5.8629336,9875624.0,5.882134,0.005072809749931517
2014-09-02,5.887467,5.9093337,5.8506665,12941249.0,5.8917336,-0.001261717060709655
2014-09-03,5.917333,5.9728,5.894933,22816876.0,5.92,0.004151193250203411
2014-09-04,5.909867,5.981867,5.9066668,17023124.0,5.9472003,0.011863086411431745
2014-09-05,5.9344,6.0485334,5.9322667,21084374.0,6.0245333,0.0048850417223700315
2014-09-08,6.0048003,6.0688004,6.0048003,16034999.0,6.0565333,-0.0038891413415744758
2014-09-09,6.034134,6.0570674,5.9584007,21508122.0,6.0106673,-0.0028393523886136585
2014-09-10,6.0106664,6.032,5.9674664,18315000.0,6.0176,0.010411105178857571
2014-09-11,5.9936,6.0730667,5.9834666,21384374.0,6.0613337,-0.007221499339498005
2014-09-12,6.056,6.099734,5.978667,29527500.0,5.9856005,-0.01162059247339442
2014-09-15,6.0122666,6.0405335,5.9136,13850625.0,5.9386663,0.020014335957329044
2014-09-16,5.9424005,6.0426674,5.916801,16079998.0,6.035201,-0.003255669622677204
2014-09-17,6.0613337,6.074134,6.019734,17388748.0,6.039467,-0.0013241028866525228
2014-09-18,6.0416,6.069867,6.0016003,17268748.0,6.0186667,-0.01078399243648931
2014-09-19,6.0336003,6.0480003,5.951467,22513124.0,5.980267,-0.020999126418648095
2014-09-22,5.968534,5.973334,5.8165336,26144998.0,5.848534,0.0011865758488498468
2014-09-23,5.8432,5.9173336,5.8261333,17958750.0,5.850134,0.006928577047490947
2014-09-24,5.8501334,5.9488,5.8149333,11276250.0,5.905067,-0.013761685541016533
2014-09-25,5.8906665,5.922667,5.804267,22250624.0,5.8282666,0.018911023321567244
2014-09-26,5.809601,5.952534,5.7898674,27824996.0,5.952534,-0.0027929712922609706
2014-09-29,5.9194665,5.9456005,5.888,17803124.0,5.906133,-0.003433377600588261
2014-09-30,5.9029336,5.9402666,5.8816004,14649374.0,5.914667,-0.005076983285097425
2014-10-01,5.8826666,5.9424,5.8170667,22550626.0,5.837333,0.001731342145206316
2014-10-02,5.8528004,5.8528004,5.7818675,25591872.0,5.8336005,0.019466858707047452
2014-10-03,5.8629336,5.9557333,5.8405337,26655000.0,5.945067,-0.009369094354228835
2014-10-06,5.9770665,6.011733,5.9397335,13130625.0,5.9695997,-0.003963272294107645
2014-10-07,5.9210668,5.945067,5.8853335,14806874.0,5.892267,-9.03757460661847e-05
2014-10-08,5.8976,5.943467,5.8581333,17291250.0,5.9349337,-0.00832049220400577
2014-10-09,5.897067,5.941334,5.8330674,19158748.0,5.8608003,-0.018331137283589483
2014-10-10,5.8480005,5.895467,5.7424,20428124.0,5.7504,-0.004923791109253006
2014-10-13,5.7408,5.7648,5.661867,17116874.0,5.667733,-0.015311332528728405
2014-10-14,5.7125335,5.746667,5.6661334,31713748.0,5.674134,0.00018968662951057702
2014-10-15,5.625067,5.7312,5.5376005,23225624.0,5.698667,0.016683978732109805
2014-10-16,5.626134,5.7066674,5.598401,16769997.0,5.685334,0.012587359479683924
2014-10-17,5.7200003,5.800534,5.718934,20263124.0,5.7760005,0.012246823204419943
2014-10-20,5.792,5.8752003,5.7658668,27210000.0,5.8128,0.009824450340014002
2014-10-21,5.8629336,5.930667,5.8096004,19280624.0,5.909867,8.995810631051704e-05
2014-10-22,5.9205337,5.9594665,5.8592,9615000.0,5.8656,1.1822194934119068e-07
2014-10-23,5.9210663,5.9392,5.851733,12491250.0,5.8986664,0.0032425912424229875
2014-10-24,5.921067,5.994134,5.918401,9354374.0,5.950401,0.010863620161424947
2014-10-27,5.9402666,5.9909334,5.864,20829374.0,5.9898667,0.003641687014557027
2014-10-28,6.0047994,6.0746665,5.9781327,16117501.0,6.029866,-0.008230088040371175
2014-10-29,6.026667,6.0576005,5.9765334,15343124.0,5.997867,0.03551357212492334
2014-10-30,5.977067,6.111467,5.975467,16233749.0,6.1013336,-0.03489884372050367
2014-10-31,6.189334,6.189334,5.9397335,42045000.0,5.9909334,-0.002767868272679941
2014-11-03,5.9733334,6.0245337,5.9376,40110000.0,5.9909334,-0.004655737980123642
2014-11-04,5.9568,6.0741334,5.8597336,29827500.0,5.9034667,-0.008725437344127007
2014-11-05,5.9290667,5.970667,5.7989335,35015624.0,5.8885336,0.01742303864695094
2014-11-06,5.877333,5.9610662,5.8528,20105626.0,5.9546666,0.015875789792656247
2014-11-07,5.979734,6.1162667,5.9541335,22524374.0,6.113067,-0.00667256328618504
2014-11-10,6.074667,6.074667,5.9968004,17739374.0,6.0416,-0.008131474189814858
2014-11-11,6.0341334,6.0554667,5.987733,13792500.0,5.9957333,0.005346640229758393
2014-11-12,5.985067,6.039467,5.9488006,15826874.0,6.0373335,0.003988488078992658
2014-11-13,6.017067,6.117867,5.9968004,14360624.0,6.0010667,-0.002295174394717714
2014-11-14,6.041066,6.041066,5.9738665,13766251.0,6.0288,0.0025660834556247014
2014-11-17,6.0272007,6.049067,5.9973335,11518124.0,6.0426674,0.006619659829012692
2014-11-18,6.042667,6.1525335,6.042667,16299375.0,6.1274667,0.0030688181306772755
2014-11-19,6.0826674,6.1285343,6.076801,12742499.0,6.091201,0.025349538314080267
2014-11-20,6.101334,6.1978674,6.0640006,17765622.0,6.194134,-0.00042621483375959723
2014-11-21,6.256,6.272,6.1802664,13878750.0,6.2597337,0.0057142961315865826
2014-11-24,6.2533336,6.2906666,6.220267,9090000.0,6.2709336,0.014501308381672517
2014-11-25,6.289067,6.3984003,6.2624,45778124.0,6.397867,0.006269220689473665
2014-11-26,6.3802667,6.448,6.3488,13203750.0,6.4224,0.0049012922517539526
2014-11-28,6.420266,6.5488,6.420266,8677500.0,6.489066,-0.012978310201772758
2014-12-01,6.4517336,6.4837337,6.370134,15568124.0,6.3973336,-0.02512578123024778
2014-12-02,6.368001,6.380267,6.109334,38767496.0,6.194134,-0.0004296069587628182
2014-12-03,6.208,6.260267,6.152,26184374.0,6.2048,-0.0057583533389748975
2014-12-04,6.205333,6.221867,6.1456003,14548125.0,6.168,-0.006656217043550794
2014-12-05,6.1696005,6.208534,6.074134,30528748.0,6.117867,-0.025150271248379874
2014-12-08,6.1285343,6.152534,6.0096006,34243120.0,6.0320005,0.005891805034815123
2014-12-09,5.9744,6.057067,5.9648,15478124.0,6.0325336,-0.016595613684771027
2014-12-10,6.0096,6.0224,5.8757334,34835624.0,5.904,-0.019131902629957676
2014-12-11,5.909867,5.9317336,5.8533335,18532500.0,5.865067,0.016744928236268386
2014-12-12,5.7968,5.9264,5.7866664,22066876.0,5.873067,-0.005610357342641037
2014-12-15,5.893867,5.9216003,5.8234673,29724374.0,5.8768005,-0.006734046201847144
2014-12-16,5.8608003,5.9178667,5.8117332,22398750.0,5.822933,0.028767824911041906
2014-12-17,5.8213334,5.9514666,5.8,26064374.0,5.9477334,0.011399094025589918
2014-12-18,5.9888005,6.102934,5.9728003,21425624.0,6.0608006,-0.0015851070106963627
2014-12-19,6.0570674,6.0944004,5.9920006,19593748.0,6.0346675,0.004674139316824144
2014-12-22,6.0474663,6.082667,6.0207996,24813750.0,6.053867,-0.004652278169563928
2014-12-23,6.075733,6.133333,6.0458665,24562500.0,6.0586667,-0.001763812849247537
2014-12-24,6.047467,6.0736003,6.034134,8461874.0,6.041067,-0.0046823479537272394
2014-12-26,6.0368004,6.0848,5.9968004,10726875.0,6.0085335,-0.0078111732412599055
2014-12-29,6.008534,6.0352006,5.9802666,13777499.0,5.9941335,0.006799030119479799
2014-12-30,5.9616003,5.996267,5.9178667,11666250.0,5.9872003,-0.010929430525486117
2014-12-31,6.0021334,6.0021334,5.898667,8139375.0,5.9072003,-0.004491931191831111
2015-01-02,5.9365335,5.955734,5.8805337,18991874.0,5.9184003,-0.01218301528613086
2015-01-05,5.909867,5.9184003,5.7994666,16196250.0,5.825067,0.004111090574691056
2015-01-06,5.837867,5.8778667,5.7946672,31957498.0,5.7946672,0.005004037109678672
2015-01-07,5.861867,5.8757334,5.7909336,12911249.0,5.8741336,0.007876154263986912
2015-01-08,5.8912,5.9941335,5.8890667,20041874.0,5.9328003,-0.0056587173268659585
2015-01-09,5.9376,5.9893336,5.9088,15485624.0,5.912,0.005058637525929832
