date,open,high,low,volume,close,return
2020-10-22,7.5335274,7.6103163,7.4631863,5762779.5,7.5874553,0.0046569483801370826
2020-10-23,7.6378665,7.651934,7.54232,5303872.5,7.620281,0.004326312143150268
2020-10-26,7.518873,7.59742,7.2814717,7275978.5,7.366467,-0.03330769560860025
2020-10-27,7.347709,7.3975344,7.2169924,10578744.0,7.2263713,-0.019018031303201344
2020-10-28,7.0534496,7.0780687,6.935042,12059529.0,6.9596615,-0.036907846127419486
2020-10-29,6.8746657,7.156616,6.859425,12506494.0,7.0897923,0.018697863394649294
2020-10-30,7.0305886,7.2216816,6.952627,19567520.0,7.186511,0.013641965223720298
2020-11-02,7.337158,7.588628,7.222854,21283730.0,7.4121885,0.03140292973878411
2020-11-03,7.6232123,7.726379,7.483116,11547737.0,7.6624856,0.03376831282690662
2020-11-04,7.7463083,7.969055,7.6255565,16953968.0,7.845959,0.02394437126250515
2020-11-05,7.926265,8.191802,7.919817,22556386.0,8.099772,0.03234951903266392
2020-11-06,8.106807,8.176562,8.037052,11534089.0,8.092153,-0.0009406437613305174
2020-11-09,8.2703495,8.613849,8.2703495,26765024.0,8.437996,0.042738069831353975
2020-11-10,8.284418,8.453823,8.022984,22353374.0,8.061671,-0.04459885972925315
